회차,세트번호,예측번호,당첨번호,일치개수,일치번호,등수
2,1,8 10 11 15 19 21,9 13 21 25 32 42 +2,1,21,0
2,2,10 17 19 27 36 45,9 13 21 25 32 42 +2,0,,0
2,3,11 19 24 26 30 35,9 13 21 25 32 42 +2,0,,0
2,4,1 13 14 25 38 43,9 13 21 25 32 42 +2,2,13 25,0
2,5,6 8 10 21 38 41,9 13 21 25 32 42 +2,1,21,0
3,1,5 30 33 37 39 42,11 16 19 21 27 31 +30,0,,0
3,2,13 17 20 39 41 43,11 16 19 21 27 31 +30,0,,0
3,3,5 21 23 35 37 38,11 16 19 21 27 31 +30,1,21,0
3,4,3 5 11 16 18 24,11 16 19 21 27 31 +30,2,11 16,0
3,5,14 15 17 26 34 37,11 16 19 21 27 31 +30,0,,0
4,1,5 7 11 28 30 33,14 27 30 31 40 42 +2,1,30,0
4,2,3 6 8 12 17 42,14 27 30 31 40 42 +2,1,42,0
4,3,15 16 17 27 28 34,14 27 30 31 40 42 +2,1,27,0
4,4,15 23 40 41 43 45,14 27 30 31 40 42 +2,1,40,0
4,5,1 15 21 26 28 35,14 27 30 31 40 42 +2,0,,0
5,1,11 19 20 21 38 40,16 24 29 40 41 42 +3,1,40,0
5,2,1 4 11 25 26 28,16 24 29 40 41 42 +3,0,,0
5,3,10 16 28 30 31 45,16 24 29 40 41 42 +3,1,16,0
5,4,1 11 31 33 44 45,16 24 29 40 41 42 +3,0,,0
5,5,11 20 24 28 34 44,16 24 29 40 41 42 +3,1,24,0
6,1,5 6 14 27 39 45,14 15 26 27 40 42 +34,2,14 27,0
6,2,17 21 29 31 33 43,14 15 26 27 40 42 +34,0,,0
6,3,5 15 19 25 30 45,14 15 26 27 40 42 +34,1,15,0
6,4,10 12 22 28 30 41,14 15 26 27 40 42 +34,0,,0
6,5,5 11 19 22 28 37,14 15 26 27 40 42 +34,0,,0
7,1,4 11 16 20 23 40,2 9 16 25 26 40 +42,2,16 40,0
7,2,4 11 12 29 32 37,2 9 16 25 26 40 +42,0,,0
7,3,2 4 32 34 37 38,2 9 16 25 26 40 +42,1,2,0
7,4,5 21 24 27 34 43,2 9 16 25 26 40 +42,0,,0
7,5,2 7 17 20 28 31,2 9 16 25 26 40 +42,1,2,0
8,1,15 22 24 29 36 42,8 19 25 34 37 39 +9,0,,0
8,2,1 15 18 28 32 38,8 19 25 34 37 39 +9,0,,0
8,3,2 7 8 30 40 43,8 19 25 34 37 39 +9,1,8,0
8,4,3 11 23 26 32 39,8 19 25 34 37 39 +9,1,39,0
8,5,14 22 26 34 36 40,8 19 25 34 37 39 +9,1,34,0
9,1,22 30 32 34 41 44,2 4 16 17 36 39 +14,0,,0
9,2,1 3 6 16 25 33,2 4 16 17 36 39 +14,1,16,0
9,3,11 17 26 32 35 37,2 4 16 17 36 39 +14,1,17,0
9,4,2 10 17 26 44 45,2 4 16 17 36 39 +14,2,2 17,0
9,5,2 13 16 36 37 43,2 4 16 17 36 39 +14,3,2 16 36,5
10,1,12 13 23 35 36 39,9 25 30 33 41 44 +6,0,,0
10,2,1 7 22 24 28 40,9 25 30 33 41 44 +6,0,,0
10,3,3 10 12 24 33 39,9 25 30 33 41 44 +6,1,33,0
10,4,11 18 28 33 35 36,9 25 30 33 41 44 +6,1,33,0
10,5,13 18 21 26 39 44,9 25 30 33 41 44 +6,1,44,0
11,1,11 14 16 18 33 41,1 7 36 37 41 42 +14,1,41,0
11,2,1 3 6 8 22 43,1 7 36 37 41 42 +14,1,1,0
11,3,1 15 27 34 41 43,1 7 36 37 41 42 +14,2,1 41,0
11,4,16 17 23 26 27 33,1 7 36 37 41 42 +14,0,,0
11,5,2 16 20 35 36 41,1 7 36 37 41 42 +14,2,36 41,0
12,1,7 11 13 17 19 25,2 11 21 25 39 45 +44,2,11 25,0
12,2,8 10 14 26 34 45,2 11 21 25 39 45 +44,1,45,0
12,3,2 6 40 42 44 45,2 11 21 25 39 45 +44,2,2 45,0
12,4,1 11 14 26 30 41,2 11 21 25 39 45 +44,1,11,0
12,5,8 13 16 18 27 34,2 11 21 25 39 45 +44,0,,0
13,1,22 23 25 27 28 36,22 23 25 37 38 42 +26,3,22 23 25,5
13,2,14 19 23 25 40 42,22 23 25 37 38 42 +26,3,23 25 42,5
13,3,2 5 11 17 20 38,22 23 25 37 38 42 +26,1,38,0
